before,after,biased,top1,top2,top3
,,brilliant,brilliant,f.,–
,,radical,radical,left-wing,protester
,,troll,deep,dark,troll
,,spectacular,spectacular,landmark,rent
,,many,many,relatively,recreational
,,finally,finally,windows,nt
,,memorable,memorable,are:,other
,,many,many,certain,nonprotein
,,assassinated,assassinated,u.s.,laden
,,murder,murder,imperial,muster
,,debunked,debunked,repeatedly,evolutionary
,,noble,noble,alleviating,committed
,,easily,easily,millionaires,"vancouver,"
,,revealed,revealed,communist,society
,,ideology,ideology,socialist,realist
,,ethical,lush,activist,ethical
,,gnu/,initial,priority,given
,,terrorist,terrorist,al-zarqawi,killed
,,vast,vast,80-90%,sunni
,,aging,wilt,aging,overpowered
,,popular,popular,fictional,albert
,,noted,murdering,murderers,noted
,,revealed,revealed,admitting,well-connected
,,comedienne,comedienne,makeover,televised
,,unfortunately,unfortunately,greatly,light
,,significant,hit,"satirical,",significant
,,somewhat,somewhat,christian,jesus'
,,bizarre,bizarre,successful,pejoratively
,,remarkably,remarkably,enjoying,continuous
,,nazi,nazi,prisoner-of-war,marlag
,,rag-tag,loyal,guerillas,rag-tag
,,fridges,fridges,comprise,hybrid
,,anti-muslim,lebanese-american,conservative,anti-muslim
,,even,even,offer,correspondence
,,well-regarded,well-regarded,"novel,",principal
,,left-wing,ignoring,left-wing,complained
,,suprising,typical,suprising,fit
,,prolific,prolific,apparent,intertoto
,,excruciatingly,excruciatingly,employed,came
,,new,voltex,sound,sound
,,cult,cult,refugee,anti-zionist
,,propaganda,propaganda,bomber,dive
,,negative,copious,negative,hedonistic
,,prophet,prophet,prophet,divine
,,contrarian,contrarian,best,man
,,enemy,enemy,men,killed
,,popular,popular,deliberately,fan-made
,,unfortunately,unfortunately,problems,advent
,,magnificent,magnificent,claremont,restoring
,,multi-award-winning,multi-award-winning,resistance,nonviolent
,,famous,famous,people,"churchill,"
,,author,best-selling,conservative,/plagiarist
,,blatanly,aggressive,sworn,country
,,influential,influential,cap,american
,,prejudice,prejudice,proved,strong
,,spectacular,spectacular,avalanche,curves
,,surprisingly,surprisingly,positive,critics.
,,mockingly,mockingly,often,impression
,,popular,popular,actress,fictional
,,handling,abuse,catholic,doctrines
,,famous,famous,concha,known
,,html,memorable,html,republican
,,obviously,obviously,disappeared,moment
,,lucrative,lucrative,potentially,career-ending
,,infamous,infamous,extremely,controversial
,,passing,passing,formally,discontinued
,,occupied,occupied,major,proved
,,fence,fence,stated,israel
,,famously,famously,saying,evidence
,,obscure,acclaimed,obscure,evolved
,,european,favorable,major,19th
,,crap,crap,again.,ends
,,acclaimed,acclaimed,adena,idina
,,mistakenly,mistakenly,jurassic,dinosaurs
,,controversial,controversial,mainstream,garnered
,,tribe,murder,massacre,massacre
,,large,rages,large,eu-debate
,,famous,famous,mentored,also
,,renowned,renowned,originally,english
,,poor,poor,plight,understand
,,excellent,excellent,central,kent
,,murder,murder,coda,wall
,,proof,(,proof,zero
,,refute,refute,advanced,pointedly
,,enthusiastic,enthusiastic,young,eagles
,,actress,actress,italian-australian,greta
,,safe,safe,low-cost,irish
,,morocco,substantially,currently,morocco
,,ill-advised,ill-advised,mutant,ninja
,,popular,popular,mass,rvolution)
,,beautiful,beautiful,u.s.,ontonagon
,,denied,stated,halakha,divine
,,important,important,issue,world-renowned
,,vital,vital,trauma,only
,,thrash,claim,thrash,composite
,,astonishing,astonishing,strongest,lethal
,,tragically,tragically,"askersund,",jump
,,terrorists,terrorists,infiltrated,jihad
,,tragically,tragically,high,"win,"
,,statesman,statesman,closely,"physician,"
,,small,small,lago,piora
,,illegal,illegal,chicano,1846-48
,,groupthink,violating,groupthink,desired
,,renowned,renowned,captured,competing
,,distinguished,distinguished,liberal,abroad
,,aggression,aggression,militarily,weak
,,controversial,controversial,prominent,businessman
,,oscar-nominated,oscar-nominated,lord,features
,,star,star,presbyterian,rocker
,,giants,giants,reports,regards
,,beautiful,beautiful,many,neo-gothic
,,fabricating,fabricating,superior,discrete
,,brutally,brutally,many,steady
,,turned,better,often,fiction
,,"alias),",lord,favourite,"alias),"
,,mainstream,mainstream,denounced,organizations
,,still,massive,still,"america,{{cite"
,,enormously,enormously,pop,influential
,,well-known,well-known,best,probably
,,stolen,stolen,arab,society
,,non-serb,non-serb,serb-held,almost
,,comedienne,comedienne,"(1947-),",anny
,,great,great,easily,amateur
,,leading,leading,arab,arab
,,comediennes,comediennes,lack,fisher
,,shocking,shocking,executive,computer
,,theoretically,dublin-rosslare,mainland,connects
,,shuffle,shuffle,possibly,concealed
,,elite,prestigious,elite,highly
,,superior,highly,superior,successful
,,liberated,liberated,offensive,braunsberg
,,heroic,heroic,"a.d,",khalid's
,,allegedly,progressive,allegedly,empty
,,hydroperoxyl,discussed,predominates,"interchangeably,"
,,fraudulently,fraudulently,encrypted,exporting
,,symbolically,unlikely,significantly,symbolically
,,thanks,great,thanks,flourishing
,,pseudo-history,fringe,argues,pseudo-history
,,valigarmanda,eventually,valigarmanda,threatening
,,murder,murder,constabulary,hanged
,,anglo-,anglo-,(ipa:,butler
,,flouted,dictator,explicitly,flouted
,,manning,circus,circus,thief
,,star,progressive,liberal,conservative
,,vicious,vicious,best,scum
,,military,killing,western,"falluja,iraq,"
,,dates,invasion,protect,western
,,violently,violently,electable,recriminations
,,literal,explanation,understanding,literal
,,fearful,fearful,massacre,rebels
,,supermodel,supermodel,recently,presenting
,,claim,claim,dismissal,critics
,,hit,hit,electro,duo
,,tragic,tragic,death,greece
,,comedienne,comedienne,lillian,millicent
,,legendary,legendary,tutelage,racer
,,controversial,controversial,progress,danish
,,ironically,ironically,harassing,"""free"
,,tragically,tragically,serving,north
,,little,notably,little,climate
,,people,people,scam,destroying
,,industries,industries,machinery,"tea,"
,,adj,noun,noun,noun
,,enjoying,enjoying,provincial,summer
,,sad,sad,demise,aims
,,far-right,far-right,"league,",protest
,,finally,finally,ruled,formerly
,,aggressively,aggressively,wealthy,free
,,devastating,devastating,dominated,"monuments,"
,,since-debunked,climategate,skeptics,pressured
,,gnu/linux,ubuntu,debian,computer
,,amusing,amusing,recently,mentioned
,,flippantly,flippantly,hiv,concerns
,,finally,finally,long-term,resolve
,,keeping,actresses,typical,versatility
,,long-awaited,long-awaited,claimed,possibly
,,prescriptively,improper,refused,compromise
,,led,catholic,death,born
,,iconic,iconic,disparate,actual
,,debacle,debacle,160th,responsible
,,popular,popular,stealing,baby
,,cogently,argues,full-blown,cogently
,,avoids,holy,infallible,affirms
,,superstars,superstars,metal,"""free"
,,problems,problems,unions,trade
,,7,large,people,governed
,,controversial,controversial,defeated,split
,,awesome,awesome,saint,marshall
,,prosperous,prosperous,legal,developed
,,puppet,chairman,puppet,war
,,black,revealed,masters,black
,,truly,truly,unfair,certainly
,,happily,happily,indifferent,normal
,,best,best,rising,fall
,,scientists,awesome,mess,demonstrate
,,smash,smash,knew,cover
,,oppressive,devastating,oppressive,insisted
,,misguided,misguided,finally,consistently
,,liberal,successful,strongly,liberal
,,infamous,infamous,controversial,riot
,,homosexual,depraved,condemns,homosexual
,,ironically,ironically,tough,suggesting
,,damning,damning,30-page,full
,,epic,epic,muse,wembley
,,popular,popular,significant,unix-like
,,reveal,grossly,reportedly,exaggerated
,,overly,overly,increasingly,politicizing
,,executed,executed,luxemburg,liebknecht
,,killed,killed,vice-admiral,british
,,extremely,extremely,ambitious,complex
,,notable,notable,many,inspiration
,,astronomically,astronomically,consistently,command
,,tender,tender,mixed,martial
,,abortionist,abortionist,complicated,disguise
,,scandal,scandal,brussels-based,nizamul
,,forced,even,forced,perhaps
,,legendary,legendary,irama,dangdut
,,unionist,unionist,good,unionists
,,man,man,two-,accompanied
,,unfortunately,unfortunately,expose,bashisms
,,bravely,bravely,disastrous,magical
,,warlord,warlord,somali,previously
,,tragically,tragically,mother,syndrome
,,magic,impossible,magic,quartic
,,important,important,odd,"york,"
,,native,significant,indo-fijian,native
,,impressive,impressive,cir's,firm
,,associated,problems,men,psychiatric
,,indian-administered,indian-administered,also,close
,,information,chairman,criticizing,thanking
,,him/her,him/her,stood,stood
,,states,note,vladimir,"russian),"
,,imaginatively,imaginatively,only,daily
,,anti-secrecy,anti-secrecy,force,immediately
,,free,huge,activist,saints
,,ca,discriminatory,ca,coerces
,,much-loved,much-loved,frank,though
,,terrorists,terrorists,mistaken,men
,,bandit,killed,bandit,leader
,,protects,protects,fishermen,protects
,,brilliant,brilliant,memorable,actually
,,perpetrator,perpetrator,theft,violating
,,non-free,non-free,microsoft,word
,,revisionist,revisionist,perils,imbalance
,,documented,exclusively,scandinavian,owes
,,aeroplane,supersonic,only,civilian
,,conservative,cynical,conservative,screwing
,,heartbreaking,heartbreaking,mavericks,last-second
,,radical,radical,specifically,already
,,delicious,delicious,rather,hazelnut-like
,,reluctantly,reluctantly,u.s.,accepted
,,merely,merely,responsibility,actions
,,unfortunately,unfortunately,british,1950s
,,passing,passing,kook,father's
,,racist,racist,jewish,nation
,,attacked,attacked,"racist,",charge
,,tragic,tragic,noted,disaster
,,dictator,dictator,korean,korean
,,attacking,attacking,interviews,questioned
,,passing,passing,donald,fourth
,,popular,popular,fictional,ray
,,html,html,adequate,mothers
,,earned,overwhelmingly,earned,positive
,,freedom-fighter,statesman,freedom-fighter,informally
,,propaganda,propaganda,conservative,liberal
,,lamented,lamented,widely,praised
,,pro-israel,exemplified,pro-israel,"""non-theist"
,,premier,premier,catholic,society
,,prestigious,prestigious,controversial,marred
,,unfortunately,unfortunately,ostentatious,refused
,,well,even,certainly,popularizing
,,infamously,infamously,serves,cruelty
,,terrific,terrific,features,live
,,rich,rich,dynamic,fabrication
,,so-called,classic,so-called,contradiction
,,patriot,grievously,patriot,nazi
,,marvelously,marvelously,outlandish,luminous
,,large,large,longshore,sailing
,,firemen,firemen,abandoned,let
,,dazzling,dazzling,pioneered,interference
,,glorious,glorious,symbolizes,communist
,,even,even,simply,hostesses
,,illegally,illegally,occupied,defeat
,,heroine,heroine,fantasy,fantasy
,,ground-breaking,ground-breaking,starred,wayans
,,erroneous,erroneous,stated,biblical
,,black,persuaded,male,black
,,implies,holy,grammatically,implies
,,well-known,refused,"university,",well-known
,,much,much,3-4,short
,,tragically,tragically,died,"huascarn,"
,,propaganda,propaganda,fall,poster
,,properly,properly,dois,complicate
,,supermodel,supermodel,secret,"londrina,"
,,hit,hit,minor,show
,,far-left,fascist,uk's,"galloway,"
,,beloved,beloved,renowned,religious
,,error,error,correct,blunder
,,corrupt,corrupt,dictatorial,holy
,,non-nazi,mentally,non-nazi,"disabled,"
,,avid,avid,"nowadays,",approved
,,murder,murder,scientific,mentioned
,,neutralized,neutralized,assailants,shot
,,ideal,smooth,ideal,crushed
,,phenom,phenom,unknown,relatively
,,beautiful,beautiful,small,guazu
,,heterosexual,flaunt,unnatural,immoral
,,high-profile,frank,high-profile,"dukes,"
,,massive,hit,massive,hot
,,inexpert,inexpert,soldering,killing
,,shut-ins,super,engages,bowling
,,passing,passing,perpetuate,shuri-ry
,,misused,misused,technically,frequently
,,leading,even,eventually,rift
,,scorching,scorching,extreme,collective
,,even,even,pushing,secession
,,scholars,scholars,accused,several
,,excellent,excellent,formerly,africa's
,,comedienne,comedienne,"singer,",duncan
,,danger,schism,failed,recognition
,,essential,essential,modern,greek
,,tragically,tragically,flaxen-haired,1978)
,,negative,negative,tactics,opponents
,,alleged,alleged,discrimination,sectarian
,,popular,popular,controversial,fictional
,,backward,backward,"jhiwars,",sikh
,,international,wanderers,helped,fame
,,extreme,extreme,hotly,inaccuracies
,,superheroine,superheroine,fictional,donna
,,important,important,dialects,tanzania;
,,form,sect,modern,followers
,,unionist,unionist,mob,catholic
,,pervasive,pervasive,outlawed,historically
,,distinguished,enjoyed,distinguished,came
,,dead,appears,dead,xwin
,,quality,quality,flemish,kees-jan
,,comedienne,comedienne,"actress,",sabrina
,,classic,incredible,classic,menace
,,peace,murder,fatally,hamas
,,co-founder,wikipedia,}},sanger
,,even,even,"gay,","lesbian,"
,,taped,reported,cameraman,gunmen
,,disgrace,disgrace,raving,loony
,,claiming,claiming,catholic,world's
,,murder,murders,murder,murder
,,myth,myth,propagated,alliance
,,plaguing,documented,problems,sometimes
,,craze,disastrous,craze,witch-hunt
,,pantheistic,popular,famous,pantheistic
,,veteran,veteran,metal,voiced
,,nearly,unconfirmed,"guaranteed,",characters
,,classic,classic,heavy,heavy
,,unexpected,unexpected,youngest,death
,,violent,seize,violent,refused
,,gender-free,gender-free,inflected,mazanderani
,,wives,wives,divorce,","
,,bitter,bitter,right-wing,attack
,,occupied,occupied,accidentally,attacked.
,,immediately,progressive,quite,deeply
,,popular,popular,airing,crackle
,,unusually,unusually,declared,perish
,,killings,patriarchs,killings,cave
,,attacks,attacks,pro-life,activists
,,false,false,reform,claims
,,famed,famed,designed,building
,,controversial,controversial,scientology,special
,,celebrated,immaculate,celebrated,mass
,,notoriously,notoriously,black,defiance
,,amazing,amazing,unconventional,complex
,,robust,robust,bet,in-game
,,discredited,discredited,feel,historians
,,conspiracy,conspiracy,remanufactured,theory
,,famous,famous,great,juyongguan
,,apostasy,apostasy,faced,(1965
,,small,moldavian,small,alecsandri
,,marxist,marxist,rebel,blame
,,actress,actress,pop,"singer-songwriter,"
,,great,great,polish,"banach,"
,,fascinating,fascinating,urological,urologiae
,,oxymoron,oxymoron,invented,marxists
,,liberation,crusade,successfully,liberation
,,popular,popular,mainly,bedroom
,,astoundingly,astoundingly,easy,embarrassing
,,belief,chaos,"""...scientific",belief
,,notoriety,notoriety,understood,mormons
,,notorious,notorious,"""fome",social
,,magnificent,magnificent,large,"ipswich,"
,,leading,leading,matchmaking,brand
,,atrocity,atrocity,lived,new
,,unfortunately,unfortunately,crazy,again.
,,non-chinese,actual,chinese,non-chinese
,,worthy,worthy,skeptics,challenge
,,hell,cult,hell,unknown
,,liberal,liberal,"austin,",molly
,,powerful,powerful,exercised,particularly
,,impure,impure,tightly,arab
,,unfortunately,unfortunately,eventual,although
,,notes,notes,certainly,mithraic
,,superstar,superstar,wife,nearly
,,powerful,powerful,peer-to-peer,financial
,,breathtaking,breathtaking,siom,provides
,,immoral,immoral,abortion,expulsion
,,client,many,came,captured
,,superstar,superstar,also,made
,,patriots,patriots,many,welsh
,,passing,passing,despite,eventually
,,humanizing,pro-life,imply,humanizing
,,ecstatic,ecstatic,ever,pulitzer
,,justifiably,justifiably,slavish,freedom
,,always,neutral,loss,experienced
